2025-07-05 09:33:02,452 - INFO - --- Starting ProjectX Backtest for ['MNQ'] from 2025-06-30 00:00:00 to 2025-07-03 00:00:00 ---
2025-07-05 09:33:02,453 - INFO - Initial Balance: $2,000.00
2025-07-05 09:33:02,623 - INFO - 
--- Simulating Day: 2025-06-30 ---
2025-07-05 09:33:02,792 - WARNING - No previous trading day with RTH data found before 2025-06-30. Searched 180 past dates.
2025-07-05 09:33:02,793 - INFO - Calculated Premarket Levels from 2025-06-30: PMH=22916.00, PML=22853.00
2025-07-05 09:33:02,793 - INFO - CRITICAL: Could not calculate PDH/PDL for MNQ on 2025-06-30. Skipping day.
2025-07-05 09:33:02,794 - WARNING - No data for any symbol on 2025-06-30. Skipping day.
2025-07-05 09:33:02,794 - INFO - 
--- Simulating Day: 2025-07-01 ---
2025-07-05 09:33:02,798 - INFO - Calculated RTH PDH/PDL from 2025-06-30: PDH=22934.00, PDL=22780.00
2025-07-05 09:33:02,800 - INFO - Calculated Premarket Levels from 2025-07-01: PMH=22858.50, PML=22756.00
2025-07-05 09:33:02,806 - INFO - --- Starting Minute-by-Minute Simulation ---
2025-07-05 09:33:02,816 - INFO - [2025-07-01 10:02:00 UTC / 10:02:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22797.25
2025-07-05 09:33:02,816 - INFO - [2025-07-01 10:03:00 UTC / 10:03:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22797.25
2025-07-05 09:33:02,816 - INFO - [2025-07-01 10:04:00 UTC / 10:04:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22816.00
2025-07-05 09:33:02,816 - INFO - [2025-07-01 10:05:00 UTC / 10:05:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22816.00
2025-07-05 09:33:02,816 - INFO - [2025-07-01 10:06:00 UTC / 10:06:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22805.75
2025-07-05 09:33:02,817 - INFO - [2025-07-01 10:07:00 UTC / 10:07:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22805.75
2025-07-05 09:33:02,817 - INFO - [2025-07-01 10:08:00 UTC / 10:08:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22798.75
2025-07-05 09:33:02,817 - INFO - [2025-07-01 10:09:00 UTC / 10:09:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22798.75
2025-07-05 09:33:02,817 - INFO - [2025-07-01 10:10:00 UTC / 10:10:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22795.00
2025-07-05 09:33:02,818 - INFO - [2025-07-01 10:11:00 UTC / 10:11:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22795.00
2025-07-05 09:33:02,818 - INFO - [2025-07-01 10:12:00 UTC / 10:12:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22828.50
2025-07-05 09:33:02,818 - INFO - [2025-07-01 10:13:00 UTC / 10:13:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22828.50
2025-07-05 09:33:02,818 - INFO - [2025-07-01 10:14:00 UTC / 10:14:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22844.25
2025-07-05 09:33:02,818 - INFO - [2025-07-01 10:15:00 UTC / 10:15:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22844.25
2025-07-05 09:33:02,819 - INFO - [2025-07-01 10:16:00 UTC / 10:16:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22840.50
2025-07-05 09:33:02,819 - INFO - [2025-07-01 10:17:00 UTC / 10:17:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22840.50
2025-07-05 09:33:02,819 - INFO - [2025-07-01 10:18:00 UTC / 10:18:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22824.25
2025-07-05 09:33:02,820 - INFO - [2025-07-01 10:19:00 UTC / 10:19:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22824.25
2025-07-05 09:33:02,820 - INFO - [2025-07-01 10:20:00 UTC / 10:20:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22798.50
2025-07-05 09:33:02,820 - INFO - [2025-07-01 10:21:00 UTC / 10:21:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22798.50
2025-07-05 09:33:02,820 - INFO - [2025-07-01 10:22:00 UTC / 10:22:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22792.25
