symbol,entry_time,entry_price,side,stop_loss,take_profit,quantity,status,levels_info,level_broken,time_at_break,time_at_retest,exit_time,exit_price,pnl_points,pnl_dollars,reason_for_exit,result
MNQ,2025-07-01 14:32:00+00:00,22748.0,SELL,22818.5,22607.0,2,CLOSED,"PDH:22934.0, PDL:22780.0, PMH:22858.5, PML:22756.0",PML,2025-07-01 14:32:00+00:00,N/A (A+ Setup),2025-07-01 15:12:00+00:00,22607.0,141.0,564.0,TAKE_PROFIT,WIN
MNQ,2025-07-03 13:34:00+00:00,22977.5,BUY,22928.75,23075.0,3,CLOSED,"PDH:22858.75, PDL:22650.75, PMH:22939.5, PML:22830.0",PMH,2025-07-03 13:30:00+00:00,2025-07-03 13:32:00+00:00,2025-07-03 15:24:00+00:00,23075.0,97.5,585.0,TAKE_PROFIT,WIN
