Ticker,"Levels (PDH, PDL, PMH, PML)",Level Broken,Time At Level Break,Time at Level Retest,Entry Price & Time,Exit Reason & Time,Result
MES,"PDH:3226.25, PDL:3130.0, PMH:3164.0, PML:3119.5",PMH,2020-07-14 14:00:00,2020-07-14 14:02:00,3168.50 @ 2020-07-14 18:04:00,EMA_TRAIL (LOSS) @ 2020-07-14 15:04:00,LOSS
MES,"PDH:3226.25, PDL:3130.0, PMH:3164.0, PML:3119.5",PMH,2020-07-14 15:10:00,2020-07-14 15:24:00,3173.25 @ 2020-07-14 19:26:00,EMA_TRAIL (LOSS) @ 2020-07-14 15:34:00,LOSS
MNQ,"PDH:10689.25, PDL:10348.0, PMH:10755.0, PML:10661.0",PML,2020-07-15 14:52:00,2020-07-15 14:56:00,10657.25 @ 2020-07-15 18:58:00,EMA_TRAIL (LOSS) @ 2020-07-15 15:30:00,LOSS
MES,"PDH:3229.75, PDL:3181.75, PMH:3203.75, PML:3176.5",PMH,2020-07-16 14:22:00,2020-07-16 14:28:00,3205.00 @ 2020-07-16 18:30:00,SL @ 2020-07-16 14:32:00,LOSS
MNQ,"PDH:10766.5, PDL:10540.75, PMH:10590.0, PML:10474.25",PMH,2020-07-16 14:02:00,2020-07-16 14:04:00,10612.50 @ 2020-07-16 18:06:00,EMA_TRAIL (LOSS) @ 2020-07-16 14:50:00,LOSS
MES,"PDH:3229.75, PDL:3181.75, PMH:3203.75, PML:3176.5",PMH,2020-07-16 14:40:00,2020-07-16 15:26:00,3207.00 @ 2020-07-16 19:28:00,SL @ 2020-07-16 15:50:00,LOSS
MNQ,"PDH:10766.5, PDL:10540.75, PMH:10590.0, PML:10474.25",PMH,2020-07-16 15:16:00,2020-07-16 15:18:00,10602.00 @ 2020-07-16 19:20:00,EMA_TRAIL (LOSS) @ 2020-07-16 15:52:00,LOSS
MNQ,"PDH:10646.0, PDL:10467.75, PMH:10658.5, PML:10558.75",PML,2020-07-17 10:24:00,2020-07-17 10:28:00,10546.75 @ 2020-07-17 14:30:00,EMA_TRAIL (LOSS) @ 2020-07-17 10:54:00,LOSS
MES,"PDH:3212.0, PDL:3178.75, PMH:3219.25, PML:3190.0",PMH,2020-07-17 15:08:00,2020-07-17 15:16:00,3219.25 @ 2020-07-17 19:18:00,SL @ 2020-07-17 15:52:00,LOSS
MES,"PDH:3225.25, PDL:3186.25, PMH:3217.0, PML:3187.0",PMH,2020-07-20 10:10:00,2020-07-20 10:12:00,3218.00 @ 2020-07-20 14:14:00,EMA_TRAIL (LOSS) @ 2020-07-20 10:22:00,LOSS
MNQ,"PDH:11003.25, PDL:10774.75, PMH:10883.75, PML:10769.0",PMH,2020-07-22 10:00:00,2020-07-22 10:02:00,10894.75 @ 2020-07-22 14:04:00,SL @ 2020-07-22 10:26:00,LOSS
MES,"PDH:3268.75, PDL:3229.75, PMH:3249.0, PML:3217.25",PMH,2020-07-22 09:32:00,2020-07-22 09:36:00,3241.75 @ 2020-07-22 13:38:00,EMA_TRAIL (LOSS) @ 2020-07-22 10:50:00,LOSS
MES,"PDH:3268.75, PDL:3229.75, PMH:3249.0, PML:3217.25",PMH,2020-07-22 10:56:00,2020-07-22 10:58:00,3252.50 @ 2020-07-22 15:00:00,EMA_TRAIL (PROFIT) @ 2020-07-22 14:02:00,WIN
MNQ,"PDH:10899.25, PDL:10750.0, PMH:10922.0, PML:10826.75",PML,2020-07-23 10:52:00,2020-07-23 10:56:00,10811.75 @ 2020-07-23 14:58:00,TP @ 2020-07-23 14:00:00,WIN
MES,"PDH:3271.5, PDL:3235.0, PMH:3284.5, PML:3251.5",PDL,2020-07-23 14:02:00,2020-07-23 14:04:00,3217.50 @ 2020-07-23 18:06:00,EMA_TRAIL (LOSS) @ 2020-07-23 15:38:00,LOSS
MNQ,"PDH:10871.5, PDL:10498.25, PMH:10498.25, PML:10394.0",PML,2020-07-24 09:32:00,2020-07-24 09:34:00,10353.00 @ 2020-07-24 13:36:00,EMA_TRAIL (LOSS) @ 2020-07-24 10:06:00,LOSS
MES,"PDH:3271.75, PDL:3205.0, PMH:3224.75, PML:3197.0",PML,2020-07-24 09:42:00,2020-07-24 09:46:00,3191.50 @ 2020-07-24 13:48:00,EMA_TRAIL (LOSS) @ 2020-07-24 10:12:00,LOSS
MES,"PDH:3271.75, PDL:3205.0, PMH:3224.75, PML:3197.0",PDL,2020-07-24 14:54:00,2020-07-24 15:20:00,3204.00 @ 2020-07-24 19:22:00,EMA_TRAIL (LOSS) @ 2020-07-24 15:40:00,LOSS
MNQ,"PDH:10531.0, PDL:10300.0, PMH:10586.5, PML:10500.75",PMH,2020-07-27 09:40:00,2020-07-27 09:42:00,10603.25 @ 2020-07-27 13:44:00,EMA_TRAIL (LOSS) @ 2020-07-27 10:28:00,LOSS
MNQ,"PDH:10679.5, PDL:10498.0, PMH:10687.0, PML:10587.5",PML,2020-07-28 09:50:00,2020-07-28 09:54:00,10550.00 @ 2020-07-28 13:56:00,SL @ 2020-07-28 10:04:00,LOSS
MNQ,"PDH:10679.5, PDL:10498.0, PMH:10687.0, PML:10587.5",PML,2020-07-28 10:26:00,2020-07-28 10:28:00,10609.50 @ 2020-07-28 14:30:00,EMA_TRAIL (LOSS) @ 2020-07-28 10:40:00,LOSS
MES,"PDH:3233.75, PDL:3198.0, PMH:3235.75, PML:3205.0",PDH,2020-07-28 14:00:00,2020-07-28 14:06:00,3234.00 @ 2020-07-28 18:08:00,SL @ 2020-07-28 14:20:00,LOSS
MNQ,"PDH:10651.5, PDL:10500.0, PMH:10617.5, PML:10548.0",PMH,2020-07-29 10:02:00,2020-07-29 10:04:00,10627.50 @ 2020-07-29 14:06:00,EMA_TRAIL (LOSS) @ 2020-07-29 14:02:00,LOSS
MES,"PDH:3236.0, PDL:3198.0, PMH:3226.0, PML:3205.0",PMH,2020-07-29 09:56:00,2020-07-29 10:00:00,3230.75 @ 2020-07-29 14:02:00,EMA_TRAIL (PROFIT) @ 2020-07-29 14:02:00,WIN
MES,"PDH:3236.0, PDL:3198.0, PMH:3226.0, PML:3205.0",PDH,2020-07-29 14:18:00,2020-07-29 14:20:00,3243.25 @ 2020-07-29 18:22:00,SL @ 2020-07-29 14:24:00,LOSS
MNQ,"PDH:10651.5, PDL:10500.0, PMH:10617.5, PML:10548.0",PDH,2020-07-29 14:30:00,2020-07-29 14:34:00,10664.75 @ 2020-07-29 18:36:00,EMA_TRAIL (LOSS) @ 2020-07-29 15:00:00,LOSS
MNQ,"PDH:10651.5, PDL:10500.0, PMH:10617.5, PML:10548.0",PMH,2020-07-29 15:08:00,2020-07-29 15:10:00,10647.00 @ 2020-07-29 19:12:00,EMA_TRAIL (LOSS) @ 2020-07-29 15:52:00,LOSS
MES,"PDH:3236.0, PDL:3198.0, PMH:3226.0, PML:3205.0",PDH,2020-07-29 15:06:00,2020-07-29 15:08:00,3246.50 @ 2020-07-29 19:10:00,EMA_TRAIL (LOSS) @ 2020-07-29 15:56:00,LOSS
MNQ,"PDH:10684.75, PDL:10560.0, PMH:10598.0, PML:10490.0",PMH,2020-07-30 09:32:00,2020-07-30 09:42:00,10596.75 @ 2020-07-30 13:44:00,EMA_TRAIL (LOSS) @ 2020-07-30 09:54:00,LOSS
MES,"PDH:3257.0, PDL:3211.0, PMH:3231.25, PML:3199.75",PML,2020-07-30 09:52:00,2020-07-30 09:54:00,3201.00 @ 2020-07-30 13:56:00,EMA_TRAIL (LOSS) @ 2020-07-30 10:46:00,LOSS
MES,"PDH:3257.0, PDL:3211.0, PMH:3231.25, PML:3199.75",PMH,2020-07-30 14:02:00,2020-07-30 14:04:00,3237.25 @ 2020-07-30 18:06:00,SL @ 2020-07-30 14:12:00,LOSS
MNQ,"PDH:10684.75, PDL:10560.0, PMH:10598.0, PML:10490.0",PDH,2020-07-30 14:00:00,2020-07-30 14:02:00,10709.00 @ 2020-07-30 18:04:00,EMA_TRAIL (LOSS) @ 2020-07-30 14:22:00,LOSS
MNQ,"PDH:10684.75, PDL:10560.0, PMH:10598.0, PML:10490.0",PDH,2020-07-30 14:26:00,2020-07-30 14:28:00,10695.50 @ 2020-07-30 18:30:00,EMA_TRAIL (LOSS) @ 2020-07-30 15:06:00,LOSS
MES,"PDH:3257.0, PDL:3211.0, PMH:3231.25, PML:3199.75",PMH,2020-07-30 15:14:00,2020-07-30 15:16:00,3241.00 @ 2020-07-30 19:18:00,EMA_TRAIL (LOSS) @ 2020-07-30 15:46:00,LOSS
MES,"PDH:3243.75, PDL:3185.0, PMH:3263.5, PML:3240.0",PML,2020-07-31 09:36:00,2020-07-31 09:44:00,3237.50 @ 2020-07-31 13:46:00,EMA_TRAIL (PROFIT) @ 2020-07-31 14:00:00,WIN
MNQ,"PDH:10913.25, PDL:10675.75, PMH:11004.5, PML:10910.25",PMH,2020-08-03 09:32:00,2020-08-03 09:34:00,11007.00 @ 2020-08-03 13:36:00,EMA_TRAIL (PROFIT) @ 2020-08-03 10:44:00,WIN
MES,"PDH:3267.0, PDL:3202.5, PMH:3286.0, PML:3250.0",PMH,2020-08-03 10:02:00,2020-08-03 10:04:00,3288.25 @ 2020-08-03 14:06:00,EMA_TRAIL (LOSS) @ 2020-08-03 10:46:00,LOSS
MES,"PDH:3267.0, PDL:3202.5, PMH:3286.0, PML:3250.0",PMH,2020-08-03 14:14:00,2020-08-03 14:18:00,3293.00 @ 2020-08-03 18:20:00,SL @ 2020-08-03 14:22:00,LOSS
MES,"PDH:3295.5, PDL:3267.75, PMH:3283.75, PML:3262.0",PMH,2020-08-04 09:32:00,2020-08-04 09:40:00,3282.50 @ 2020-08-04 13:42:00,EMA_TRAIL (PROFIT) @ 2020-08-04 10:54:00,WIN
MNQ,"PDH:11073.0, PDL:10977.75, PMH:11028.25, PML:10968.75",PMH,2020-08-04 09:44:00,2020-08-04 09:46:00,11061.50 @ 2020-08-04 13:48:00,EMA_TRAIL (LOSS) @ 2020-08-04 11:00:00,LOSS
MES,"PDH:3295.5, PDL:3267.75, PMH:3283.75, PML:3262.0",PMH,2020-08-04 14:10:00,2020-08-04 14:12:00,3293.00 @ 2020-08-04 18:14:00,EMA_TRAIL (LOSS) @ 2020-08-04 14:22:00,LOSS
MNQ,"PDH:11087.0, PDL:10973.75, PMH:11143.5, PML:11068.75",PDH,2020-08-05 15:10:00,2020-08-05 15:12:00,11103.25 @ 2020-08-05 19:14:00,EMA_TRAIL (PROFIT) @ 2020-08-05 15:18:00,WIN
MNQ,"PDH:11087.0, PDL:10973.75, PMH:11143.5, PML:11068.75",PDH,2020-08-05 15:28:00,2020-08-05 15:32:00,11114.00 @ 2020-08-05 19:34:00,EMA_TRAIL (LOSS) @ 2020-08-05 15:40:00,LOSS
MNQ,"PDH:11128.75, PDL:11050.0, PMH:11114.25, PML:11037.0",PMH,2020-08-06 10:26:00,2020-08-06 10:28:00,11133.50 @ 2020-08-06 14:30:00,SL @ 2020-08-06 10:42:00,LOSS
MES,"PDH:3346.5, PDL:3312.75, PMH:3353.0, PML:3333.5",PML,2020-08-10 10:50:00,2020-08-10 10:52:00,3328.25 @ 2020-08-10 14:54:00,SL @ 2020-08-10 14:00:00,LOSS
MNQ,"PDH:11146.5, PDL:10918.0, PMH:11157.5, PML:10975.0",PML,2020-08-11 09:36:00,2020-08-11 10:02:00,10957.75 @ 2020-08-11 14:04:00,EMA_TRAIL (LOSS) @ 2020-08-11 10:40:00,LOSS
MES,"PDH:3374.75, PDL:3308.5, PMH:3360.5, PML:3338.0",PMH,2020-08-12 10:04:00,2020-08-12 10:16:00,3366.75 @ 2020-08-12 14:18:00,SL @ 2020-08-12 10:30:00,LOSS
MES,"PDH:3374.75, PDL:3308.5, PMH:3360.5, PML:3338.0",PDH,2020-08-12 14:34:00,2020-08-12 14:40:00,3377.25 @ 2020-08-12 18:42:00,SL @ 2020-08-12 14:48:00,LOSS
MNQ,"PDH:11084.25, PDL:10830.0, PMH:10990.5, PML:10919.75",PMH,2020-08-12 09:44:00,2020-08-12 09:46:00,11031.00 @ 2020-08-12 13:48:00,EMA_TRAIL (PROFIT) @ 2020-08-12 14:54:00,WIN
MES,"PDH:3374.75, PDL:3308.5, PMH:3360.5, PML:3338.0",PDH,2020-08-12 15:10:00,2020-08-12 15:12:00,3380.00 @ 2020-08-12 19:14:00,EMA_TRAIL (LOSS) @ 2020-08-12 15:24:00,LOSS
MES,"PDH:3382.25, PDL:3306.75, PMH:3374.25, PML:3353.75",PMH,2020-08-13 10:28:00,2020-08-13 10:30:00,3378.25 @ 2020-08-13 14:32:00,SL @ 2020-08-13 10:42:00,LOSS
MES,"PDH:3382.25, PDL:3306.75, PMH:3374.25, PML:3353.75",PMH,2020-08-13 10:54:00,2020-08-13 10:58:00,3378.25 @ 2020-08-13 15:00:00,SL @ 2020-08-13 14:00:00,LOSS
MNQ,"PDH:11184.5, PDL:10948.75, PMH:11198.0, PML:11095.5",PMH,2020-08-13 09:38:00,2020-08-13 09:42:00,11218.75 @ 2020-08-13 13:44:00,EMA_TRAIL (LOSS) @ 2020-08-13 14:02:00,LOSS
MNQ,"PDH:11184.5, PDL:10948.75, PMH:11198.0, PML:11095.5",PDH,2020-08-13 15:22:00,2020-08-13 15:26:00,11186.50 @ 2020-08-13 19:28:00,EMA_TRAIL (LOSS) @ 2020-08-13 15:48:00,LOSS
MNQ,"PDH:11265.75, PDL:11114.5, PMH:11217.75, PML:11125.25",PML,2020-08-14 14:26:00,2020-08-14 15:12:00,11106.50 @ 2020-08-14 19:14:00,EMA_TRAIL (LOSS) @ 2020-08-14 15:54:00,LOSS
MES,"PDH:3373.75, PDL:3346.5, PMH:3379.0, PML:3360.5",PMH,2020-08-17 10:42:00,2020-08-17 10:46:00,3379.50 @ 2020-08-17 14:48:00,SL @ 2020-08-17 10:52:00,LOSS
MES,"PDH:3373.75, PDL:3346.5, PMH:3379.0, PML:3360.5",PMH,2020-08-17 14:00:00,2020-08-17 14:06:00,3379.75 @ 2020-08-17 18:08:00,SL @ 2020-08-17 14:10:00,LOSS
MES,"PDH:3373.75, PDL:3346.5, PMH:3379.0, PML:3360.5",PDH,2020-08-17 14:46:00,2020-08-17 14:50:00,3378.00 @ 2020-08-17 18:52:00,SL @ 2020-08-17 14:54:00,LOSS
MNQ,"PDH:11206.75, PDL:11080.5, PMH:11236.25, PML:11180.0",PMH,2020-08-17 10:18:00,2020-08-17 10:20:00,11246.50 @ 2020-08-17 14:22:00,EMA_TRAIL (PROFIT) @ 2020-08-17 15:12:00,WIN
MES,"PDH:3373.75, PDL:3346.5, PMH:3379.0, PML:3360.5",PDH,2020-08-17 15:16:00,2020-08-17 15:18:00,3377.00 @ 2020-08-17 19:20:00,SL @ 2020-08-17 15:44:00,LOSS
MES,"PDH:3383.0, PDL:3364.0, PMH:3388.75, PML:3367.75",PML,2020-08-18 10:56:00,2020-08-18 10:58:00,3376.25 @ 2020-08-18 15:00:00,SL @ 2020-08-18 14:00:00,LOSS
MES,"PDH:3383.0, PDL:3364.0, PMH:3388.75, PML:3367.75",PDH,2020-08-18 14:56:00,2020-08-18 14:58:00,3387.75 @ 2020-08-18 19:00:00,EMA_TRAIL (LOSS) @ 2020-08-18 15:52:00,LOSS
MES,"PDH:3395.5, PDL:3355.0, PMH:3367.75, PML:3340.0",PMH,2020-08-20 10:14:00,2020-08-20 10:16:00,3361.00 @ 2020-08-20 14:18:00,EMA_TRAIL (PROFIT) @ 2020-08-20 10:54:00,WIN
MNQ,"PDH:11437.75, PDL:11288.75, PMH:11337.5, PML:11245.5",PMH,2020-08-20 09:54:00,2020-08-20 09:58:00,11362.25 @ 2020-08-20 14:00:00,TP @ 2020-08-20 14:46:00,WIN
MES,"PDH:3387.0, PDL:3341.25, PMH:3383.0, PML:3346.5",PMH,2020-08-21 09:52:00,2020-08-21 10:22:00,3381.75 @ 2020-08-21 14:24:00,SL @ 2020-08-21 10:26:00,LOSS
MES,"PDH:3387.0, PDL:3341.25, PMH:3383.0, PML:3346.5",PMH,2020-08-21 10:34:00,2020-08-21 10:36:00,3386.00 @ 2020-08-21 14:38:00,EMA_TRAIL (LOSS) @ 2020-08-21 15:42:00,LOSS
MNQ,"PDH:11496.5, PDL:11254.75, PMH:11499.5, PML:11393.0",PMH,2020-08-21 10:24:00,2020-08-21 10:28:00,11531.00 @ 2020-08-21 14:30:00,EMA_TRAIL (LOSS) @ 2020-08-21 15:42:00,LOSS
MNQ,"PDH:11573.5, PDL:11445.0, PMH:11695.75, PML:11634.0",PMH,2020-08-24 09:34:00,2020-08-24 09:38:00,11721.50 @ 2020-08-24 13:40:00,SL @ 2020-08-24 09:52:00,LOSS
MNQ,"PDH:11573.5, PDL:11445.0, PMH:11695.75, PML:11634.0",PML,2020-08-24 10:26:00,2020-08-24 10:28:00,11628.50 @ 2020-08-24 14:30:00,TP @ 2020-08-24 10:54:00,WIN
MES,"PDH:3429.25, PDL:3398.75, PMH:3445.5, PML:3420.0",PDH,2020-08-25 14:00:00,2020-08-25 14:02:00,3432.00 @ 2020-08-25 18:04:00,SL @ 2020-08-25 14:14:00,LOSS
MNQ,"PDH:11974.5, PDL:11748.0, PMH:12039.0, PML:11930.0",PML,2020-08-27 09:32:00,2020-08-27 10:08:00,11915.75 @ 2020-08-27 14:10:00,EMA_TRAIL (LOSS) @ 2020-08-27 10:20:00,LOSS
MES,"PDH:3478.25, PDL:3427.75, PMH:3491.0, PML:3452.0",PMH,2020-08-27 10:28:00,2020-08-27 10:34:00,3483.25 @ 2020-08-27 14:36:00,EMA_TRAIL (LOSS) @ 2020-08-27 10:46:00,LOSS
MNQ,"PDH:11974.5, PDL:11748.0, PMH:12039.0, PML:11930.0",PDH,2020-08-27 15:32:00,2020-08-27 15:34:00,11978.00 @ 2020-08-27 19:36:00,EMA_TRAIL (LOSS) @ 2020-08-27 15:48:00,LOSS
MES,"PDH:3478.25, PDL:3427.75, PMH:3491.0, PML:3452.0",PDH,2020-08-27 14:14:00,2020-08-27 14:16:00,3489.75 @ 2020-08-27 18:18:00,EMA_TRAIL (LOSS) @ 2020-08-27 15:50:00,LOSS
MNQ,"PDH:12046.25, PDL:11818.0, PMH:11986.25, PML:11907.75",PMH,2020-08-28 10:16:00,2020-08-28 10:18:00,11993.25 @ 2020-08-28 14:20:00,EMA_TRAIL (LOSS) @ 2020-08-28 10:34:00,LOSS
MES,"PDH:3498.25, PDL:3445.25, PMH:3500.5, PML:3475.0",PDH,2020-08-28 15:06:00,2020-08-28 15:10:00,3504.00 @ 2020-08-28 19:12:00,SL @ 2020-08-28 15:16:00,LOSS
MES,"PDH:3506.75, PDL:3470.75, PMH:3518.5, PML:3490.25",PDH,2020-08-31 14:44:00,2020-08-31 14:50:00,3507.75 @ 2020-08-31 18:52:00,SL @ 2020-08-31 15:02:00,LOSS
MNQ,"PDH:12165.0, PDL:11981.75, PMH:12248.75, PML:12159.25",PMH,2020-09-01 10:38:00,2020-09-01 10:46:00,12242.75 @ 2020-09-01 14:48:00,EMA_TRAIL (PROFIT) @ 2020-09-01 14:46:00,WIN
MES,"PDH:3512.75, PDL:3475.5, PMH:3513.75, PML:3481.0",PMH,2020-09-01 14:16:00,2020-09-01 14:20:00,3505.75 @ 2020-09-01 18:22:00,TP @ 2020-09-01 16:00:00,WIN
MES,"PDH:3527.25, PDL:3468.5, PMH:3556.25, PML:3530.0",PML,2020-09-02 09:50:00,2020-09-02 09:52:00,3531.00 @ 2020-09-02 13:54:00,SL @ 2020-09-02 10:28:00,LOSS
MES,"PDH:3527.25, PDL:3468.5, PMH:3556.25, PML:3530.0",PMH,2020-09-02 14:00:00,2020-09-02 14:04:00,3551.75 @ 2020-09-02 18:06:00,EMA_TRAIL (PROFIT) @ 2020-09-02 14:18:00,WIN
MES,"PDH:3527.25, PDL:3468.5, PMH:3556.25, PML:3530.0",PMH,2020-09-02 14:36:00,2020-09-02 14:38:00,3564.00 @ 2020-09-02 18:40:00,SL @ 2020-09-02 14:42:00,LOSS
MES,"PDH:3587.0, PDL:3510.0, PMH:3583.25, PML:3541.0",PML,2020-09-03 10:06:00,2020-09-03 10:08:00,3533.50 @ 2020-09-03 14:10:00,TP @ 2020-09-03 14:00:00,WIN
MNQ,"PDH:12242.5, PDL:11644.0, PMH:11799.0, PML:11600.0",PDL,2020-09-04 09:46:00,2020-09-04 09:52:00,11518.75 @ 2020-09-04 13:54:00,TP @ 2020-09-04 10:42:00,WIN
MNQ,"PDH:12242.5, PDL:11644.0, PMH:11799.0, PML:11600.0",PML,2020-09-04 10:44:00,2020-09-04 11:00:00,11469.25 @ 2020-09-04 18:00:00,SL @ 2020-09-04 14:02:00,WIN
MES,"PDH:3438.5, PDL:3400.0, PMH:3435.0, PML:3350.0",PML,2020-09-08 09:40:00,2020-09-08 09:46:00,3331.25 @ 2020-09-08 13:48:00,SL @ 2020-09-08 09:56:00,LOSS
MES,"PDH:3438.5, PDL:3400.0, PMH:3435.0, PML:3350.0",PML,2020-09-08 14:36:00,2020-09-08 14:44:00,3324.00 @ 2020-09-08 18:46:00,EMA_TRAIL (LOSS) @ 2020-09-08 15:28:00,LOSS
MNQ,"PDH:11528.25, PDL:11438.0, PMH:11525.0, PML:11130.0",PML,2020-09-08 15:00:00,2020-09-08 15:02:00,11066.00 @ 2020-09-08 19:04:00,SL @ 2020-09-08 15:28:00,LOSS
MES,"PDH:3379.5, PDL:3308.5, PMH:3378.0, PML:3327.0",PMH,2020-09-09 09:58:00,2020-09-09 10:00:00,3387.00 @ 2020-09-09 14:02:00,EMA_TRAIL (PROFIT) @ 2020-09-09 14:14:00,WIN
MES,"PDH:3424.0, PDL:3351.0, PMH:3417.75, PML:3364.5",PMH,2020-09-10 09:40:00,2020-09-10 09:46:00,3416.25 @ 2020-09-10 13:48:00,EMA_TRAIL (LOSS) @ 2020-09-10 10:26:00,LOSS
