Ticker,"Levels (PDH, PDL, PMH, PML)",Level Broken,Time At Level Break,Time at Level Retest,Entry Price & Time,Exit Reason & Time,Result
MNQ,"PDH:10043.0, PDL:9943.0, PMH:10159.25, PML:10065.0",PMH,2020-07-01 09:32:00,2020-07-01 09:40:00,10166.25 @ 2020-07-01 13:42:00,EMA_TRAIL (LOSS) @ 2020-07-01 09:54:00,LOSS
MES,"PDH:3055.25, PDL:3030.75, PMH:3102.75, PML:3052.75",PMH,2020-07-01 09:32:00,2020-07-01 09:40:00,3097.75 @ 2020-07-01 13:42:00,SL @ 2020-07-01 09:56:00,LOSS
MES,"PDH:3055.25, PDL:3030.75, PMH:3102.75, PML:3052.75",PMH,2020-07-01 14:00:00,2020-07-01 14:06:00,3109.75 @ 2020-07-01 18:08:00,SL @ 2020-07-01 14:12:00,LOSS
MES,"PDH:3055.25, PDL:3030.75, PMH:3102.75, PML:3052.75",PMH,2020-07-01 14:46:00,2020-07-01 14:50:00,3106.50 @ 2020-07-01 18:52:00,EMA_TRAIL (LOSS) @ 2020-07-01 15:04:00,LOSS
MES,"PDH:3118.0, PDL:3080.0, PMH:3147.5, PML:3110.0",PMH,2020-07-02 09:32:00,2020-07-02 09:34:00,3147.25 @ 2020-07-02 13:36:00,EMA_TRAIL (LOSS) @ 2020-07-02 10:24:00,LOSS
MNQ,"PDH:10309.0, PDL:10116.0, PMH:10381.5, PML:10299.5",PMH,2020-07-02 09:30:00,2020-07-02 09:32:00,10400.50 @ 2020-07-02 13:34:00,EMA_TRAIL (LOSS) @ 2020-07-02 10:28:00,LOSS
MNQ,"PDH:10309.0, PDL:10116.0, PMH:10381.5, PML:10299.5",PMH,2020-07-02 10:40:00,2020-07-02 10:42:00,10404.00 @ 2020-07-02 14:44:00,EMA_TRAIL (LOSS) @ 2020-07-02 10:52:00,LOSS
MNQ,"PDH:10309.0, PDL:10116.0, PMH:10381.5, PML:10299.5",PMH,2020-07-02 14:18:00,2020-07-02 14:20:00,10392.00 @ 2020-07-02 18:22:00,EMA_TRAIL (LOSS) @ 2020-07-02 15:04:00,LOSS
MNQ,"PDH:10357.75, PDL:10303.75, PMH:10494.25, PML:10462.0",PMH,2020-07-06 09:54:00,2020-07-06 09:56:00,10507.00 @ 2020-07-06 13:58:00,EMA_TRAIL (PROFIT) @ 2020-07-06 14:02:00,WIN
MES,"PDH:3121.25, PDL:3096.0, PMH:3173.0, PML:3150.0",PML,2020-07-06 14:14:00,2020-07-06 14:18:00,3146.00 @ 2020-07-06 18:20:00,EMA_TRAIL (LOSS) @ 2020-07-06 14:32:00,LOSS
MES,"PDH:3174.75, PDL:3145.0, PMH:3157.75, PML:3130.0",PMH,2020-07-07 10:02:00,2020-07-07 10:08:00,3166.25 @ 2020-07-07 14:10:00,SL @ 2020-07-07 10:38:00,LOSS
MES,"PDH:3174.75, PDL:3145.0, PMH:3157.75, PML:3130.0",PMH,2020-07-07 14:06:00,2020-07-07 14:10:00,3159.75 @ 2020-07-07 18:12:00,EMA_TRAIL (LOSS) @ 2020-07-07 14:16:00,LOSS
MES,"PDH:3174.25, PDL:3122.5, PMH:3151.75, PML:3119.0",PMH,2020-07-08 09:38:00,2020-07-08 09:42:00,3153.25 @ 2020-07-08 13:44:00,SL @ 2020-07-08 10:28:00,LOSS
MES,"PDH:3174.25, PDL:3122.5, PMH:3151.75, PML:3119.0",PMH,2020-07-08 10:50:00,2020-07-08 10:56:00,3153.25 @ 2020-07-08 14:58:00,SL @ 2020-07-08 11:00:00,LOSS
MES,"PDH:3174.25, PDL:3122.5, PMH:3151.75, PML:3119.0",PMH,2020-07-08 15:10:00,2020-07-08 15:18:00,3155.00 @ 2020-07-08 19:20:00,SL @ 2020-07-08 15:38:00,LOSS
MNQ,"PDH:10659.75, PDL:10512.5, PMH:10738.5, PML:10669.25",PML,2020-07-09 10:40:00,2020-07-09 10:42:00,10645.75 @ 2020-07-09 14:44:00,EMA_TRAIL (LOSS) @ 2020-07-09 14:02:00,LOSS
MES,"PDH:3162.5, PDL:3117.0, PMH:3170.75, PML:3146.0",PML,2020-07-09 09:46:00,2020-07-09 10:16:00,3135.00 @ 2020-07-09 14:18:00,EMA_TRAIL (PROFIT) @ 2020-07-09 14:02:00,WIN
MNQ,"PDH:10659.75, PDL:10512.5, PMH:10738.5, PML:10669.25",PMH,2020-07-09 14:56:00,2020-07-09 14:58:00,10752.50 @ 2020-07-09 19:00:00,EMA_TRAIL (LOSS) @ 2020-07-09 15:28:00,LOSS
MNQ,"PDH:10774.25, PDL:10560.25, PMH:10750.25, PML:10670.0",PML,2020-07-10 09:46:00,2020-07-10 09:54:00,10652.25 @ 2020-07-10 13:56:00,EMA_TRAIL (LOSS) @ 2020-07-10 10:18:00,LOSS
MES,"PDH:3170.0, PDL:3096.25, PMH:3147.25, PML:3110.0",PDH,2020-07-10 15:14:00,2020-07-10 15:16:00,3172.25 @ 2020-07-10 19:18:00,EMA_TRAIL (LOSS) @ 2020-07-10 15:48:00,LOSS
MES,"PDH:3177.75, PDL:3115.25, PMH:3204.25, PML:3173.25",PMH,2020-07-13 10:16:00,2020-07-13 10:18:00,3195.75 @ 2020-07-13 14:20:00,TP @ 2020-07-13 14:00:00,WIN
MNQ,"PDH:10830.0, PDL:10618.0, PMH:10952.5, PML:10861.0",PMH,2020-07-13 09:32:00,2020-07-13 09:34:00,10969.25 @ 2020-07-13 13:36:00,EMA_TRAIL (LOSS) @ 2020-07-13 14:02:00,LOSS
MNQ,"PDH:10830.0, PDL:10618.0, PMH:10952.5, PML:10861.0",PML,2020-07-13 14:10:00,2020-07-13 14:24:00,10841.25 @ 2020-07-13 18:26:00,TP @ 2020-07-13 15:30:00,WIN
MNQ,"PDH:11058.25, PDL:10562.0, PMH:10673.75, PML:10460.0",PML,2020-07-14 09:50:00,2020-07-14 09:58:00,10446.75 @ 2020-07-14 14:00:00,EMA_TRAIL (LOSS) @ 2020-07-14 10:32:00,LOSS
